Data de registro;Razão Social;CNPJ / CPF;RAMO;Status
14/01/2020;AUTO POSTO CHACARA KLABIN VILA MARIANA LTDA.;11754493000171;COMÉRCIO;EM ANDAMENTO
14/01/2020;INTERBELLE COMÉRCIO DE PRODUTOS DE BELEZA LTDA.;11137051040641;COMÉRCIO;ENCERRADA
15/01/2020;ASSOCIAÇÃO EDUCACIONAL NOVE DE JULHO;43374768000138;EDUCAÇÃO;ENCERRADA
15/01/2020;GIAN LEAO CARVALHO ME;33626416000179;SERVIÇOS;ENCERRADA
15/01/2020;BANCO SANTANDER (BRASIL) S.A.;90400888000142;FINANCEIRO;ENCERRADA
15/01/2020;BANK OF MONTREAL;05973976000164;FINANCEIRO;ENCERRADA
16/01/2020;ALESSANDRA APARECIDA THIMOTHEO FIGUEIREDO DE MELO ME;10743111000150;COMÉRCIO;ENCERRADA
16/01/2020;WEBMOTORS S.A.;03347828000109;SERVIÇOS;ENCERRADA
16/01/2020;VFS BRASIL SERVIÇOS DE PREPARAÇÃO DE DOCUMENTOS LTDA.;13531190000115;SERVIÇOS;ENCERRADA
16/01/2020;SOCIEDADE TÉCNICA EDUCACIONAL DA LAPA S/A;02558975000165;EDUCAÇÃO;ENCERRADA
17/01/2020;ELIZANIA PEREIRA DE OLIVEIRA ME;19896340000170;COMÉRCIO;ENCERRADA
17/01/2020;CONFIDENCE CORRETORA DE CAMBIO S/A;04913129000141;FINANCEIRO;EM ANDAMENTO
17/01/2020;EL CAMINO FOODS S.A.;10291637000138;COMÉRCIO;EM ANDAMENTO
17/01/2020;KABUCO.COM.BR;81738389000179;COMÉRCIO;ENCERRADA
17/01/2020;CIA DA PIZZA MOOCA;-;COMÉRCIO;EM ANDAMENTO
18/01/2020;DIAS PASTORINHO S A COMERCIO E INDUSTRIA;61192795000171;COMÉRCIO;EM ANDAMENTO
18/01/2020;WHIRLPOOL S.A.;59105999000348;COMÉRCIO;ENCERRADA
18/01/2020;CONSTRUTORA TENDA S/A;71479527000135;COMÉRCIO;ENCERRADA
19/01/2020;CARREFOUR COMERCIO E INDUSTRIA LTDA;45543915084695;COMÉRCIO;ENCERRADA
19/01/2020;JESSICA GONÇALVES GOMES PINTO;38845577856;COMÉRCIO;ENCERRADA
20/01/2020;CIFRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO;08030215000167;FINANCEIRO;ENCERRADA
20/01/2020;BOOKING.COM BRASIL SERVIÇOS DE RESERVA DE HOTEIS LTDA.;10625931000139;SERVIÇOS;ENCERRADA POR DUPLICIDADE
20/01/2020;S. V. GIGA COMERCIO DE PRESENTES LTDA. ME;14395513001478;COMÉRCIO;EM ANDAMENTO
20/01/2020;VIA VAREJO S/A;33041260065290;COMÉRCIO;ENCERRADA
20/01/2020;IPB INTERCAMBIO CULTURAL EIRELI ME;14037344000180;SERVIÇOS;ENCERRADA
20/01/2020;JANDUY ALEXANDRINO DA SILVA JUNIOR ME;34831088000105;COMÉRCIO;ENCERRADA
20/01/2020;UNIVERSIDADE BRASIL;09099207000130;EDUCAÇÃO;ENCERRADA
20/01/2020;PAGSEGURO INTERNET S.A.;08561701000101;FINANCEIRO;ENCERRADA
20/01/2020;CREDZ ADMINISTRADORA DE CARTOES S/A;12109247000120;FINANCEIRO;ENCERRADA
20/01/2020;FALCONELETRO;-;COMÉRCIO;ENCERRADA POR DUPLICIDADE
21/01/2020;SUL AMERICA SEGUROS DE PESSOAS E PREVIDENCIA S.A.;01704513000146;SAÚDE;ENCERRADA
21/01/2020;L. M. ANGELIS - ADVOGADOS ASSOCIADOS;06984402000154;SERVIÇOS;ENCERRADA
21/01/2020;CARVALHO & DIAS ODONTOLOGIA LTDA;15262626000143;SAÚDE;ENCERRADA
21/01/2020;PREDIALL IMOVEIS LTDA;12984235000144;SERVIÇOS;ENCERRADA
21/01/2020;WEBMOTORS S.A.;03347828000109;SERVIÇOS;ENCERRADA POR DUPLICIDADE
21/01/2020;WESLEY RODRIGUES DE SOUZA ME;18356729000160;COMÉRCIO;ENCERRADA
22/01/2020;ESTETIC CENTER LUKAHEFE LTDA;00964526000191;SERVIÇOS;EM ANDAMENTO
22/01/2020;ESTETIC CENTER LUKAHEFE LTDA;00964526000191;SERVIÇOS;ENCERRADA POR DUPLICIDADE
22/01/2020;W.E. LOGUS INFORMATICA LTDA;02421499000136;SERVIÇOS;EM ANDAMENTO
22/01/2020;ESTETIC CENTER LUKAHEFE LTDA;00964526000191;SERVIÇOS;EM ANDAMENTO
22/01/2020;ASSOCIAÇÃO EDUCACIONAL NOVE DE JULHO;43374768000138;EDUCAÇÃO;ENCERRADA
22/01/2020;PB ADMINISTRADORA DE ESTACIONAMENTOS EIRELI;52636412007986;SERVIÇOS;EM ANDAMENTO
22/01/2020;AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;29309127000179;SAÚDE;ENCERRADA
23/01/2020;JOSE ANTONIO RICARDO DE OLIVEIRA ME;33081979000129;COMÉRCIO;ENCERRADA
23/01/2020;BANCO SAFRA S A;58160789000128;FINANCEIRO;ENCERRADA
23/01/2020;PAGSEGURO INTERNET S.A.;08561701000101;FINANCEIRO;ENCERRADA
23/01/2020;CASA DE CARNES MALUCAO LTDA;07410974000192;COMÉRCIO;EM ANDAMENTO
23/01/2020;ENJOEI.COM.BR ATIVIDADES DE INTERNET LTDA;16922038000151;SERVIÇOS;ENCERRADA
23/01/2020;MERCADO ABENCOADO LTDA;04708671000162;COMÉRCIO;EM ANDAMENTO
23/01/2020;IMPORTS MAKE DANTAS;-;COMÉRCIO;ENCERRADA
23/01/2020;INOVATION SHOP COMPANY;-;COMÉRCIO;ENCERRADA
24/01/2020;ASSOCIACAO EDUCACIONAL GIANGIACOMO;07104361000399;EDUCAÇÃO;EM ANDAMENTO
24/01/2020;UBER DO BRASIL TECNOLOGIA LTDA.;17895646000187;SERVIÇOS;ENCERRADA POR DUPLICIDADE
24/01/2020;CESAR PIRES BARBOSA ME;33517831000194;SERVIÇOS;ENCERRADA
24/01/2020;UBER DO BRASIL TECNOLOGIA LTDA.;17895646000187;SERVIÇOS;ENCERRADA
25/01/2020;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34028316000103;SERVIÇO PÚBLICO;ENCERRADA
26/01/2020;COMPANHIA DE GÁS DE SÃO PAULO COMGÁS ;61856571000621;SERVIÇO PÚBLICO;ENCERRADA
26/01/2020;COMPANHIA DE GÁS DE SÃO PAULO COMGÁS ;61856571000621;SERVIÇO PÚBLICO;ENCERRADA
26/01/2020;SP 3 SHOES E ACESSORIOS EIRELI;18321074000195;COMÉRCIO;ENCERRADA
26/01/2020;SP 3 SHOES E ACESSORIOS EIRELI;18321074000195;COMÉRCIO;ENCERRADA
27/01/2020;BANCO BRADESCARD S.A.;04184779000101;FINANCEIRO;ENCERRADA
27/01/2020;IBAZAR.COM ATIVIDADES DE INTERNET LTDA.;03499243000104;SERVIÇOS;ENCERRADA
27/01/2020;GDC ALIMENTOS S.A;02279324000136;COMÉRCIO;EM ANDAMENTO
27/01/2020;MINAS BRASIL ALIMENTOS EIRELI;20480458000100;COMÉRCIO;EM ANDAMENTO
28/01/2020;VIA VAREJO S/A;33041260065290;COMÉRCIO;ENCERRADA POR DUPLICIDADE
28/01/2020;POWER SLIME COMERCIO E IMPORTACAO LTDA;32740675000163;COMÉRCIO;EM ANDAMENTO
28/01/2020;-;-;COMÉRCIO;ENCERRADA
28/01/2020;MERCADOPAGO.COM REPRESENTACOES LTDA.;10573521000191;SERVIÇOS;ENCERRADA
28/01/2020;GRUPO TUDO PARA CASA E CONSTRUCAO LTDA;30940642000131;COMÉRCIO;ENCERRADA
28/01/2020;JB - AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL LTDA;28812324000143;FINANCEIRO;EM ANDAMENTO
28/01/2020;FERNANDO AFONSO DINIZ SILVA;00001259215601;EDUCAÇÃO;ENCERRADA
29/01/2020;WS ONLINE NEGATIVADOS;-;FINANCEIRO;EM ANDAMENTO
29/01/2020;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S.A.;01937635000263;COMÉRCIO;EM ANDAMENTO
29/01/2020;SAMAUMA BRANDS COMERCIO, IMPORTACAO EXPORTACAO DE ELETRO-ELETRONICOS LTDA;16593757000176;COMÉRCIO;ENCERRADA
29/01/2020;CARREFOUR COMERCIO E INDUSTRIA LTDA;45543915084695;COMÉRCIO;ENCERRADA
29/01/2020;BANCO ITAU CONSIGNADO S.A.;33885724000119;FINANCEIRO;ENCERRADA
30/01/2020;GRUPO TUDO PARA CASA E CONSTRUCAO LTDA;30940642000131;COMÉRCIO;ENCERRADA
30/01/2020;GERU TECNOLOGIA E SERVICOS S.A;20955843000159;FINANCEIRO;ENCERRADA
30/01/2020;RN EVOLUTION COMERCIO DE LIVROS E CURSOS LTDA;20112517000180;EDUCAÇÃO;EM ANDAMENTO
30/01/2020; MAX CONCEPT CABELEIREIROS E ESTETICA LTDA;22948762000157;SERVIÇOS;ENCERRADA
30/01/2020;FT INVESTIMENTOS E OPERACOES LTDA;28130491000104;FINANCEIRO;EM ANDAMENTO
30/01/2020;JBS S/A;02916265000160;COMÉRCIO;EM ANDAMENTO
31/01/2020;SOARES DA ROSA CABELEIREIRO EIRELI(ELEGANCE MAKE UP);19417675000169;COMÉRCIO;ENCERRADA
31/01/2020;ATLANTICA AUTO POSTO E CONVENIENCIA LTDA;08807800000120;COMÉRCIO;EM ANDAMENTO
31/01/2020;STILO ICE COMERCIO DE REFRIGERAO EIRELI;17313931000142;SERVIÇOS;ENCERRADA
01/02/2020;SOCIALGRAM TECNOLOGIA LTDA. ME;32253433000145;SERVIÇOS;ENCERRADA POR DUPLICIDADE
01/02/2020;MUNICÍPIO DE SÃO PAULO;46395000000139;SERVIÇO PÚBLICO;ENCERRADA
01/02/2020;ALEXANDRE MARTINS DE SOUZA ME;26757089000129;COMÉRCIO;ENCERRADA
02/02/2020;SISCOM TELEATENDIMENTO E TELESSERVIÇOS LTDA.;01550933000115;SERVIÇOS;ENCERRADA
02/02/2020;UBER DO BRASIL TECNOLOGIA LTDA.;17895646000187;SERVIÇOS;ENCERRADA
02/02/2020;AUTO POSTO BAP LTDA.;62537121000124;COMÉRCIO;ENCERRADA
03/02/2020;RESTAURANTE CICCARINO LTDA. EPP;51192920000190;COMÉRCIO;EM ANDAMENTO
04/02/2020;TIM S.A.;02421421000111;SERVIÇOS;ENCERRADA
04/02/2020;GIO OTICA LTDA. EPP;30245193000101;COMÉRCIO;ENCERRADA
04/02/2020;SAULO MARCELO DE CARVALHO ARCIPRESTTI;OAB - 386929/SP;SERVIÇOS;ENCERRADA
05/02/2020;MM FRANQUIA EIRELI;15916578000160;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
05/02/2020;JPA CASA DA BELEZA COMÉRCIO DE COSMÉTICOS LTDA. ME;28390895000137;COMÉRCIO;ENCERRADA
05/02/2020;DIA BRASIL SOCIEDADE LIMITADA;03476811078509;COMÉRCIO;EM ANDAMENTO
05/02/2020;LUADI COMÉRCIO ELETRÔNICO EIRELI EPP;23796817000113;COMÉRCIO;EM ANDAMENTO
06/02/2020;FAST SHOP S.A;43708379000100;COMÉRCIO;ENCERRADA
06/02/2020;PL PESCADOS LTDA. EPP;11161830000117;COMÉRCIO;EM ANDAMENTO
06/02/2020;TELEFÔNICA BRASIL S.A.;02558157000162;SERVIÇOS;ENCERRADA
06/02/2020;UBER DO BRASIL TECNOLOGIA LTDA.;17895646000187;SERVIÇOS;EM ANDAMENTO
06/02/2020;UBER DO BRASIL TECNOLOGIA LTDA.;17895646000187;SERVIÇOS;ENCERRADA POR DUPLICIDADE
07/02/2020;AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;29309127000179;SERVIÇOS;EM ANDAMENTO
07/02/2020;SOCIEDADE PAULISTA DE ENSINO E PESQUISA LTDA.;04302037000125;EDUCAÇÃO;EM ANDAMENTO
07/02/2020;EMPRESA BRASILEIRA DE TRANSPORTES URBANOS DE SÃO PAULO S.A. - EMTU/SP;58518069000191;SERVIÇO PÚBLICO;ENCERRADA
08/02/2020;J.E.R. FITNESS E ARTIGOS ESPORTIVOS LTDA. ME;26484711000172;SERVIÇOS;ENCERRADA
08/02/2020;VIA VAREJO S/A;33041260065290;COMÉRCIO;ENCERRADA POR DUPLICIDADE
08/02/2020;MASTERCARD BRASIL LTDA.;01248201000175;FINANCEIRO;ENCERRADA
08/02/2020;VISA DO BRASIL EMPREENDIMENTOS LTDA.;31551765000143;FINANCEIRO;ENCERRADA
09/02/2020;T.K.S. SISTEMAS HOSPITALARES E CONSULTÓRIOS MÉDICOS LTDA.;02162577000125;SAÚDE;ENCERRADA POR DUPLICIDADE
09/02/2020;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34028316000103;SERVIÇO PÚBLICO;CONVERTIDA EM RECLAMAÇÃO
10/02/2020;PATRONO ADMINISTRADORA DE BENS EIRELI ME;10189118000163;SERVIÇOS;ENCERRADA
10/02/2020;PATRONO ADMINISTRADORA DE BENS EIRELI ME;10189118000163;SERVIÇOS;ENCERRADA POR DUPLICIDADE
11/02/2020;RR CONVENIENCIA EIRELI EPP;11043083000112;COMÉRCIO;ENCERRADA
11/02/2020;CENTRO DE FORMAÇÃO DE CONDUORES A & B ROBLES GUARULHOS LTDA. ME;07211445000160;SERVIÇOS;ENCERRADA
11/02/2020;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;01438784004860;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
12/02/2020;AGUIA FINANCIAMENTOS DE VEÍCULOS EIRELI ME;31440691000178;FINANCEIRO;CONVERTIDA EM RECLAMAÇÃO
12/02/2020;SHEYLA F. C. DIAS;28860176808;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
12/02/2020;GRINDR;-;SERVIÇOS;ENCERRADA
13/02/2020;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;01438784000105;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
13/02/2020;PAVA-SI VERÍCULOS, PEÇAS E SERVIÇOS LTDA. ME;03123279000199;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
13/02/2020;ASSOCIAÇÃO EDUCACIONAL NOVE DE JULHO;43374768000138;EDUCAÇÃO;CONVERTIDA EM RECLAMAÇÃO
13/02/2020;CRIFFER INSTRUMENTOS DE MEDICACAO LTDA. ME;07255935000168;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
13/02/2020;PAGSEGURO INTERNET S.A.;08561701000101;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
13/02/2020;B L MARINHO ME;13461953000107;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
13/02/2020;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;47508411171805;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
13/02/2020;ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS;61099834000190;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
14/02/2020;LAYSER COMÉRCIO DE ALIMENTOS EIRELI ME;27152316000155;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
14/02/2020;SERASA S.A.;62173620000180;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
15/02/2020;LMS CAMARGO - INSTALACOES HIDRAULIAS ME;35374663000150;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
17/02/2020;OLX S.A.;17779137000199;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
17/02/2020;VIA VAREJO S/A;33041260065290;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
17/02/2020;TALENTO KIDS PRODUCOES FOTOGRAFICAS LTDA. EPP;29878407000106;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
17/02/2020;BANCO BRADESCO FINANCIAMENTOS S.A.;07207996000150;FINANCEIRO;CONVERTIDA EM RECLAMAÇÃO
17/02/2020;AUTO POSTO FLINT LTDA.;13426668000147;COMÉRCIO;EM ANDAMENTO
18/02/2020;JCM AUTOMACAO PORTOESAJATO LTDA. EPP;56577919000105;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
18/02/2020;MAXUEL ERALDO DOS SANTOS ME;29128912000125;COMÉRCIO;EM ANDAMENTO
18/02/2020;ADEGA GRAAL COMERCIO DE BEBIDAS LTDA. ME;26560390000148;COMÉRCIO;EM ANDAMENTO
19/02/2020;POSTO DE SERVICOS MARACANA LTDA.;62413612000163;COMÉRCIO;EM ANDAMENTO
20/02/2020;ACADEMIA LIFE HEALTH LTDA. ME;17947893000180;SERVIÇOS;EM ANDAMENTO
21/02/2020;ESCOLA CRISTOVAO COLOMBO LTDA. EPP;56100753000123;EDUCAÇÃO;ENCERRADA
22/02/2020;AGENCIA MUNDI INTERCAMBIO E TURISMO EIRELI EPP;17367352000182;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
23/02/2020;PONTE AZUL INOVACAO E TECNOLOGIA LTDA. ME;29954652000147;SERVIÇOS;ENCERRADA POR DUPLICIDADE
24/02/2020;IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.;14380200000121;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
24/02/2020;BURGUER PLACE LANCHONETE LTDA. ME;33590135000103;COMÉRCIO;ENCERRADA POR DUPLICIDADE
24/02/2020;EDITORA TRES LTDA.;59225284000167;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
24/02/2020;EDSON HEITOR DA SILVA EIRELI ME;26033375000141;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
25/02/2020;AGENCIA MUNDI INTERCAMBIO E TURISMO EIRELI EPP;17367352000182;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
26/02/2020;CASA DE PEDRA GINASIO DE ESCALADA EIRELI;12833766000136;SERVIÇOS;EM ANDAMENTO
26/02/2020;FRANCISCO RODRIGUES DE OLIVEIRA NETO ME;36375754000173;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
27/02/2020;EDMILSON DURÃES;36503116829;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
28/02/2020;AUTO POSTO DUQUE JK LTDA. ME;07846581000126;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
28/02/2020;LUADI COMÉRCIO ELETRÔNICO EIRELI EPP;23796817000113;COMÉRCIO;EM ANDAMENTO
29/02/2020;LAR'S EMPREENDIMENTOS LTDA.;01215670000198;COMÉRCIO;EM ANDAMENTO
29/02/2020;PLAZA JAPAN;-;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
29/02/2020;SUELI TEIXEIRA DA SILVA ME;28878735000131;COMÉRCIO;ENCERRADA
01/03/2020;CONSORCIO SHOPPING LIGHT ;03776220000108;SERVIÇOS;EM ANDAMENTO
01/03/2020;ASSOCIAÇÃO EDUCACIONAL NOVE DE JULHO;43374768000138;EDUCAÇÃO;CONVERTIDA EM RECLAMAÇÃO
01/03/2020;EMPRESA DE ONIBUS PASSARO MARROM S/A.;61563557000125;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
01/03/2020;PANIFICADORA PORTA DO SOL LTDA.;62178058000187;COMÉRCIO;EM ANDAMENTO
02/03/2020;CONSTELACAO XXXII FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;30366204000101;SERVIÇOS;ENCERRADA
03/03/2020;KE BELEZA INSTITUTO LTDA.;11369740000116;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
03/03/2020;BANCO DO BRASIL S.A.;00000000668508;FINANCEIRO;CONVERTIDA EM RECLAMAÇÃO
04/03/2020;EMPREGOS.COM;-;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
04/03/2020;CESAR & KAN DIAGNOSTICOS POR IMAGEM LTDA.;10328019000115;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
04/03/2020;SILVANA DA SILVA LOPES ME;22512761000165;SERVIÇOS;ENCERRADA
04/03/2020;BUNGE ALIMENTOS S/A;84046101037003;COMÉRCIO;EM ANDAMENTO
06/03/2020;ISCP SOCIEDADE EDUCACIONAL LTDA.;62596408001105;EDUCAÇÃO;CONVERTIDA EM RECLAMAÇÃO
06/03/2020;C E P FARIAS ME;23831722000193;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
08/03/2020;RESTAURANTE TEMPERANCA LTDA.;48785919000164;COMÉRCIO;ENCERRADA
09/03/2020;ICLOCK;-;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
09/03/2020;ICLOCK;-;COMÉRCIO;ENCERRADA POR DUPLICIDADE
10/03/2020;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S/A;04310392000146;EDUCAÇÃO;CONVERTIDA EM RECLAMAÇÃO
10/03/2020;HDI SEGUROS S/A;29980158000157;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
10/03/2020;ACADEMIA AMC LTDA.;26066422000153;SERVIÇOS;EM ANDAMENTO
10/03/2020;ANA MARIA DA COSTA BURCIUS DE ASSIS ME;14119260000195;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
12/03/2020;OTIMIZE NEGOCIOS CONSULTORIA EM CREDITO LTDA. ME;30813855000100;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
13/03/2020;OTIMIZE NEGOCIOS CONSULTORIA EM CREDITO LTDA. ME;30813855000101;SERVIÇOS;ENCERRADA POR DUPLICIDADE
13/03/2020;EMBALAGENS ITAIM COMERCIAL LTDA. EPP;04692433000106;COMÉRCIO;EM ANDAMENTO
13/03/2020;CLARO S.A.;40432544000147;SERVIÇOS;CONVERTIDA EM RECLAMAÇÃO
13/03/2020;MEI BRASIL;-;SERVIÇOS;ENCERRADA
13/03/2020;TELLERINA COMERCIO DE PRESENTES E ARTIGOS PARA DECORAÇÃO S.A.;84453844034244;COMÉRCIO;CONVERTIDA EM RECLAMAÇÃO
13/03/2020;CORPOREOS SERVIÇOS TERAPEUTICOS S.A.;08845676001836;SERVIÇOS;ENCERRADA
14/03/2020;LUADI COMERCIO ELETRONICO EIRELI EPP;23796817000113;COMÉRCIO;ENCERRADA
14/03/2020;JONAS VIANA / IMPERFLOOR - IMPERBEABILIZAÇÕES;-;SERVIÇOS;ENCERRADA POR DUPLICIDADE
15/03/2020;JOAO PAULO DA SILVA SOUZA JUNIOR ME;15653853000108;FINANCEIRO;ENCERRADA
16/03/2020;DROGARIA SÃO PAULO S.A.;61412110000155;COMÉRCIO;EM ANDAMENTO
16/03/2020;DROGARIA SÃO PAULO S.A.;61412110000155;COMÉRCIO;EM ANDAMENTO
16/03/2020;JARDIM VILA FORMOSA;-;SERVIÇOS;ENCERRADA
16/03/2020;BUNGE ALIMENTOS S/A;84046101037003;COMÉRCIO;EM ANDAMENTO
16/03/2020;BUNGE ALIMENTOS S/A;84046101037004;COMÉRCIO;EM ANDAMENTO
16/03/2020;DROGARIA SANTA LUZIA;-;COMÉRCIO;EM ANDAMENTO
16/03/2020;SUPER BABY PRESENTES EIRELI ME;26337938000195;COMÉRCIO;EM ANDAMENTO
16/03/2020;PAQUETA CALCADOS LTDA.;01098983016379;COMÉRCIO;EM ANDAMENTO
